CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,LATITUD,LONGITUD,ALTITUD,CVE_CARTA,AMBITO,PTOT,PMAS,PFEM,VTOT
7,Chiapas,Chis.,8,Angel Albino Corzo,1,Jaltenango de la Paz (Angel Albino Corzo),155221.52,924330.287,635,D15B11,U,10427,5042,5385,2292
7,Chiapas,Chis.,8,Angel Albino Corzo,5,Las Chicharras,154414.917,923840.937,1260,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,7,Francisco I. Madero,154929.137,924105.469,661,D15B11,R,1819,942,877,387
7,Chiapas,Chis.,8,Angel Albino Corzo,8,Guadalupe Victoria (Yerbasanta),154911.123,924313.672,680,D15B11,R,172,80,92,32
7,Chiapas,Chis.,8,Angel Albino Corzo,10,Libertad del Pajal,154645.506,923933.092,776,D15B12,R,597,291,306,121
7,Chiapas,Chis.,8,Angel Albino Corzo,11,Liquidámbar,154424.46,924510.56,1096,D15B21,R,28,11,17,5
7,Chiapas,Chis.,8,Angel Albino Corzo,13,Monte Grande,154520.175,924503.05,957,D15B11,R,106,50,56,24
7,Chiapas,Chis.,8,Angel Albino Corzo,14,Nueva Colombia,154148.87,924315.18,1359,D15B21,R,1568,784,784,300
7,Chiapas,Chis.,8,Angel Albino Corzo,15,Nueva Independencia,154023.081,923435.116,847,D15B22,R,1283,637,646,246
7,Chiapas,Chis.,8,Angel Albino Corzo,16,Nueva Palestina,154824.129,924502.747,734,D15B11,U,3475,1772,1703,695
7,Chiapas,Chis.,8,Angel Albino Corzo,17,San Marcos Ojo de Agua,154617.244,923914.981,793,D15B12,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,20,Plan de Ayutla,154224.739,923424.375,826,D15B22,R,483,255,228,94
7,Chiapas,Chis.,8,Angel Albino Corzo,23,Querétaro,155014.122,924528.188,671,D15B11,R,2203,1124,1079,414
7,Chiapas,Chis.,8,Angel Albino Corzo,25,Salvador Urbina,154651.546,924859.874,828,D15B11,R,553,308,245,92
7,Chiapas,Chis.,8,Angel Albino Corzo,26,San Francisco,155059.602,924215.292,640,D15B11,R,265,142,123,58
7,Chiapas,Chis.,8,Angel Albino Corzo,34,La Victoria,154534.234,923637.867,1049,D15B12,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,37,Flor de Mayo,153812.59,923523.13,1103,D15B22,R,7,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,43,Tierra Blanca (Pequeñeces),154807.205,924802.677,775,D15B11,R,22,11,11,3
7,Chiapas,Chis.,8,Angel Albino Corzo,47,La Tarraya,154059.856,923132.286,1522,D15B22,R,16,9,7,5
7,Chiapas,Chis.,8,Angel Albino Corzo,51,España,153830.853,923532.01,1060,D15B22,R,17,8,9,3
7,Chiapas,Chis.,8,Angel Albino Corzo,52,Los Jazmines,154444.988,923937.008,1082,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,58,La Mesita,154829.599,923802.393,896,D15B12,R,18,10,8,5
7,Chiapas,Chis.,8,Angel Albino Corzo,63,La Guardianía,155127.035,924437.766,632,D15B11,R,3,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,64,Sayula,154502.205,923834.017,1017,D15B12,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,66,Las Perlas,154452.084,924231.965,994,D15B21,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,77,Montebello Altamira,154545.123,923832.44,914,D15B12,R,410,218,192,72
7,Chiapas,Chis.,8,Angel Albino Corzo,80,El Porvenir,154622.605,924438.215,820,D15B11,R,59,29,30,9
7,Chiapas,Chis.,8,Angel Albino Corzo,81,Prusia,154257.93,924738.34,1038,D15B21,R,18,7,11,5
7,Chiapas,Chis.,8,Angel Albino Corzo,92,Argentina,153831.508,923601.471,1102,D15B22,R,92,51,41,14
7,Chiapas,Chis.,8,Angel Albino Corzo,94,El Puerto (El Ceñido),153723.672,923454.289,1498,D15B22,R,8,*,*,2
7,Chiapas,Chis.,8,Angel Albino Corzo,95,Santiago,153822.255,923521.661,1085,D15B22,R,4,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,98,Buenavista,153810.271,923557.829,1268,D15B22,R,25,15,10,3
7,Chiapas,Chis.,8,Angel Albino Corzo,99,Los Patios,154154.512,923201.437,1133,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,100,Magnolia,154020.733,923220.367,1482,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,101,Tres Estrellas,154030.087,923314.291,1093,D15B22,R,1,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,102,Solo Dios,153732.804,923342.12,1482,D15B22,R,13,*,*,2
7,Chiapas,Chis.,8,Angel Albino Corzo,104,La Lagunilla,153819.949,923317.702,1630,D15B22,R,2,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,105,El Suspiro,154129.004,923109.012,1224,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,106,Buenavista,153954.396,923257.786,1463,D15B22,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,129,Santa María,155219.217,924124.92,620,D15B11,R,11,4,7,3
7,Chiapas,Chis.,8,Angel Albino Corzo,134,Chiquinillal,154729.9,923952.871,721,D15B12,R,233,114,119,47
7,Chiapas,Chis.,8,Angel Albino Corzo,135,El Achotal,154525.253,924151.663,920,D15B11,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,136,Las Delicias,154447.45,924217.286,1156,D15B21,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,137,El Perú,154507.341,924229.751,983,D15B11,R,1,*,*,1
7,Chiapas,Chis.,8,Angel Albino Corzo,140,El Retiro,154411.036,923952.693,1284,D15B22,R,37,22,15,9
7,Chiapas,Chis.,8,Angel Albino Corzo,141,La Paz,154659.833,923747.809,831,D15B12,R,524,283,241,94
7,Chiapas,Chis.,8,Angel Albino Corzo,142,Medio Día,154354.27,924252.82,1339,D15B21,R,0,0,0,0
7,Chiapas,Chis.,8,Angel Albino Corzo,143,El Progreso,154542.983,924156.062,987,D15B11,R,4,*,*,1
