Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
1,"Wi","","হ্যাঁ
Sì
Yego
True
Yes
Vre
Vero
Sí
Vrai
Да
Verdadero
Oui
Sim
ہاں
Wi
Verdadeiro
እወ","","","Misc","N/A","Super User","Super User"
2,"Non","","نہیں
No
Falso
Нет
No
Faux
Non
ኣይትጥቀምን
Falso
Muzima
Falso
Non
Fo
No
না
Não
False","","","Misc","N/A","Super User","Super User"
3,"Lokasyon dechaj","","Lokasyon dechaj
Discharge location
Lieu de décharge","","","Question","Text","Super User","Super User"
4,"Kantite medikaman ki dispanse","","Quantité de médicament administrés
Quantity of medication dispensed
Kantite medikaman ki dispanse","","","Misc Order","Numeric","Super User","Super User"
5,"Durasyon medikaman","","Durasyon medikaman
Dire pou pran medikaman
Medication duration
Durée de prise des médicaments
Durée des médicaments","","","Question","Numeric","Super User","Super User"
6,"Kantite medikasyon preskri pa dòz","","Cantidad de medicacion por dosis
Kantite medikasyon preskri pa dòz
Quantity of medication prescribed per dose
Quantité de médicament par dose","","","Question","Numeric","Super User","Super User"
7,"Instriksyon pou preskripsyon sa kod","","Instructions de médication, non spécifié
Instriksyon pou preskripsyon sa kod
Prescription instructions, non-coded","","","Misc Order","Text","Super User","Super User"
8,"Orè","","Hrs
Horas
Heures
Orè
Hours","","","Misc","N/A","Super User","Super User"
9,"Semèn","","Weeks
Semanas
Semaines
Semèn","","","Misc","N/A","Super User","Super User"
10,"Mwa","réponse générique à une question","Months
Meses
Mois
Mwa","","","Misc","N/A","Super User","Super User"
11,"Jou","","Days
Jou
Jours
Dias","","","Misc","N/A","Super User","Super User"
12,"Minit","","Minit
Minutes
Minutes
min","","","Misc","N/A","Super User","Super User"
13,"Ane","","Ans
Années
Years
Annees
Ane
yrs
Años","","","Misc","N/A","Super User","Super User"
14,"Segond","","Seconds
Secondes
secs
Segond","","","Misc","N/A","Super User","Super User"
15,"Number of occurrences","","Number of occurrences
Number of times
No. of times","","","Misc","N/A","Super User","Super User"
16,"Inite dire","","Inite dire
Time units
Init dire
Unités de temps
Duration units
Unités de durée
Units of duration","Jou
Ane
Orè
Mwa
Semèn
Segond
Number of occurrences
Minit","Segond
Minit
Orè
Jou
Semèn
Mwa
Ane
Number of occurrences","Question","Coded","Super User","Super User"
17,"Inite medikasyon preskri pa dòz","","Units of medication prescribed per dose, non-coded
Units of medication prescribed per dose
Inite medikasyon preskri pa dòz
Unités de médicaments par dose","","","Question","Text","Super User","Super User"
18,"Fréquence générale de drogue, autre","","Frequency
Fréquence générale de drogue, autre
Other drug frequency
General drug frequency, non-coded","","","Question","Text","Super User","Super User"
19,"Demand pou medikaman","","Ordenes de medicamentos
Medication(s) name
Medication orders
Demande de médicaments
Medikaman preskri
Demand pou medikaman
Médicaments prescrits","","","Drug","Coded","Super User","Super User"
20,"TDS","","3 times per day
Three times per day
THREE PER DAY
TDS
Three times a day
TID
TID
TDS
TD
TDS
Twa fwa nan yon jounen
Trois fois par jour
Three a day
Thrice daily","","","Frequency","N/A","Super User","Super User"
21,"Chak 4 èdtan","","Q4H
Every 4 hours
Tous les 4 heures
Q4H
Chak 4 èdtan
Q4H
Every four hours","","","Frequency","N/A","Super User","Super User"
22,"Sèt fwa nan yon jounen","","7D
Sèt fwa nan yon jounen
Seven times a day
Sept fois par jour
7D
7D","","","Frequency","N/A","Super User","Super User"
23,"Chak 12 zèdtan","","Tous les 12 heures
Every twelve hours
Chak 12 zèdtan
Q12H
Every 12 hours
Q12H
Q12H","","","Frequency","N/A","Super User","Super User"
24,"Chak 3 zèdtan","","Q3H
Tous les 3 heures
Q3H
Q3H
Chak 3 zèdtan
Every three hours
Every 3 hours","","","Frequency","N/A","Super User","Super User"
