,0
0,CIEL:104317
1,CIEL:104421
2,CIEL:104546
3,CIEL:104676
4,CIEL:104843
5,CIEL:104859
6,CIEL:105169
7,CIEL:159850
8,CIEL:160268
9,CIEL:163404
10,CIEL:1873
11,CIEL:431
12,CIEL:70105
13,CIEL:70496
14,CIEL:70995
15,CIEL:71665
16,CIEL:71681
17,CIEL:71767
18,CIEL:71917
19,CIEL:72053
20,CIEL:72120
21,CIEL:72164
22,CIEL:72217
23,CIEL:72241
24,CIEL:72247
25,CIEL:72411
26,CIEL:72510
27,CIEL:72595
28,CIEL:72794
29,CIEL:73008
30,CIEL:73048
31,CIEL:73338
32,CIEL:73546
33,CIEL:73596
34,CIEL:73636
35,CIEL:73702
36,CIEL:74044
37,CIEL:74233
38,CIEL:75842
39,CIEL:75928
40,CIEL:76376
41,CIEL:76586
42,CIEL:76613
43,CIEL:77009
44,CIEL:77032
45,CIEL:777
46,CIEL:77784
47,CIEL:77796
48,CIEL:78064
49,CIEL:78338
50,CIEL:78342
51,CIEL:78482
52,CIEL:78644
53,CIEL:78677
54,CIEL:78770
55,CIEL:78788
56,CIEL:79053
57,CIEL:79054
58,CIEL:79074
59,CIEL:79251
60,CIEL:79691
61,CIEL:79739
62,CIEL:79743
63,CIEL:80049
64,CIEL:80194
65,CIEL:80236
66,CIEL:80375
67,CIEL:80470
68,CIEL:80514
69,CIEL:80665
70,CIEL:80675
71,CIEL:80696
72,CIEL:81025
73,CIEL:81031
74,CIEL:81294
75,CIEL:81604
76,CIEL:81822
77,CIEL:81861
78,CIEL:81909
79,CIEL:81943
80,CIEL:82315
81,CIEL:82624
82,CIEL:82696
83,CIEL:82862
84,CIEL:82983
85,CIEL:82990
86,CIEL:83362
87,CIEL:83809
88,CIEL:83865
89,CIEL:83902
90,CIEL:84480
91,CIEL:84522
92,CIEL:84646
93,CIEL:84670
94,CIEL:84823
95,CIEL:84893
96,CIEL:85218
97,CIEL:85235
98,CIEL:86155
99,CIEL:913
100,CIEL:931
