,Unnamed: 0,name_es,name_clean,old_name_matches_clean,old_name_matches_score,concept,english
0,,CIPROFLOXACINA CREMA **ESPECIAL**,ciprofloxacina crema,ciprofloxacino  dexamentasona gotas,72.0,CIEL:104317,
1,,DESOGESTREL Y ETINILESTRADIOL 0.15MG/0.03MG - 21 TABLETAS,desogestrel y etinilestradiol,desogestrel   etinilestradiol,97.0,CIEL:104421,
7,,DORZOLAMIDA/TIMOLOL OFTALMICA 20MG/5ML,dorzolamida timolol oftalmica,dorzolamida timolol,90.0,CIEL:104546,
8,,TIMOLOL + BRIMONIDINA + DORZOLAMIDA GOTAS OFTALMICAS **ESPECIAL**,timolol   brimonidina   dorzolamida gotas oftalmicas,dorzolamida timolol,86.0,CIEL:104546,
9,,FLUTICASONA/SALMETEROL 250MG/50MG,fluticasona salmeterol,fluticasona salmeterol,100.0,CIEL:104676,
10,,TELMISARTAN 40MG - 14 TABLETAS,telmisartan,telmisartan,100.0,CIEL:104843,
11,,TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12.5MG - TABLETAS,telmisartan hidroclorotiazida,telmisartan,90.0,CIEL:104843,
12,,HIDROCORTISONA INYECTABLE 50MG/ML - 2ML,hidrocortisona inyectable,hidrocortisona   lidocaína,72.0,CIEL:104859,
13,,ALCAFTADINA OFTALMICA **ESPECIAL**,alcaftadina oftalmica,zinc y fenilefrina solucion oftalmica,86.0,CIEL:105169,
17,,METFORMINA/GLIBENCLAMIDA 500MG/5MG - 60 TABLETAS,metformina glibenclamida,metformina glibenclamida,100.0,CIEL:159850,
18,,LACOSAMIDA 100MG TABLETAS **ESPECIAL**,lacosamida,,,CIEL:160268,lacosamide
19,,FORMULA LACTEA ETAPA 3 **ESPECIAL**,formula lactea etapa,,,CIEL:163404,"baby formula, stage 3"
20,,IMPLANTE ANTICONCEPTIVO - 1 UNIDAD,implante anticonceptivo,,,CIEL:1873,contraceptive implant
21,,BUTILHIOCINA 20MG/ML - 3 AMPOLLAS DE 1ML,butilhiocina,butilhioscina,96.0,CIEL:431,
22,,BUTILHIOSCINA 10MG - 10 TABLETAS,butilhioscina,butilhioscina,100.0,CIEL:431,
27,,ACENOCUMAROL 4MG - 20 TABLETAS **ESPECIAL**,acenocumarol,acenocumarol,100.0,CIEL:70105,
29,,ACIDO ALENDRONICO 70MG - 4 TABLETAS **ESPECIAL**,acido alendronico,alendronato,74.0,CIEL:70496,
31,,"ALUMINIO, MAGNESIO Y DIMETICONA - 50 TABLETAS",aluminio,aluminio magnesio – dimeticona,90.0,CIEL:70995,
32,,"ALUMINIO, MAGNESIO Y DIMETICONA - SUSPENCION 320 ML",aluminio,aluminio magnesio – dimeticona,90.0,CIEL:70995,
35,,ATORVASTATINA 40 mg,atorvastatina,,,CIEL:71665,atorvastatin
36,,ATROPINA INYECTABLE 1 MG/ML - 1 AMPOLLA **ESPECIAL**,atropina inyectable,atropina,90.0,CIEL:71681,
37,,ATROPINA OFTALMICA **ESPECIAL**,atropina oftalmica,atropina,90.0,CIEL:71681,
38,,AZATIOPRINA 50MG **ESPECIAL**,azatioprina,azatioprina,100.0,CIEL:71767,
39,,BECLOMETASONA 250MCG/100G - AEROSOL,beclometasona,dipropionato de beclometasona,90.0,CIEL:71917,
40,,BENZONATATO 100MG - 20 CAPSULAS,benzonatato,benzonatato,100.0,CIEL:72053,
41,,BETAMETASONA 0.1% - CREMA,betametasona,betametasona,100.0,CIEL:72120,
42,,BETAMETASONA INYECTABLE 4MG/ML - 2ML,betametasona inyectable,betametasona,90.0,CIEL:72120,
43,,Bicalutamida 50 mg **ESPECIAL**,bicalutamida,,,CIEL:72164,bicalutamide
44,,BIPERIDENO 1 MG 6 30 TABLETAS,biperideno,biperideno,100.0,CIEL:72217,
45,,BIPERIDENO 2 MG - 30 TABLETAS,biperideno,biperideno,100.0,CIEL:72217,
46,,BISMUTO (SUBSALICILATO) 262MG - 24 TABLETAS,bismuto (subsalicilato),subsalicilato de bismuto,95.0,CIEL:72241,
47,,BISMUTO (SUBSALICILATO) SUSPENCION - 120ML,bismuto (subsalicilato) suspencion,subsalicilato de bismuto,88.0,CIEL:72241,
48,,BISOPROLOL 2.5MG - TABLETAS **ESPECIAL**,bisoprolol,,,CIEL:72247,bisoprolol
49,,BROMOCRIPTINA - Tableta - 2.5mg **ESPECIAL**,bromocriptina,bromocriptina,100.0,CIEL:72411,
50,,"BUPROENORFINA INYECTABLE 0,3MG/ML",buproenorfina inyectable,,,CIEL:72510,buprenorphine
51,,CABERGOLINA 0.5 MG - 2 TABLETAS **ESPECIAL**,cabergolina,cabergolina,100.0,CIEL:72595,
52,,CARBETOCINA INYECTABLE 100 MCG - 1 AMPOLLA,carbetocina inyectable,,,CIEL:72794,carbetocin
53,,METAMIZOL 500MG TABLETAS,metamizol,,,CIEL:73008,Metamizole
54,,METAMIZOL INYECTABLE 1G - 3 AMPOLLAS,metamizol inyectable,,,CIEL:73008,Metamizole
55,,CELECOXIB 200MG **ESPECIAL**,celecoxib,,,CIEL:73048,celecoxib
57,,CLORTALIDONA 50MG - 20 TABLETAS,clortalidona,clortalidona,100.0,CIEL:73338,
58,,CLINDAMICINA - GEL - 1%,clindamicina,clindamicina,100.0,CIEL:73546,
59,,CLINDAMICINA 300MG - 16 CAPSULAS,clindamicina,clindamicina,100.0,CIEL:73546,
60,,CLONAZEPAM 2MG - 30 TABLETAS,clonazepam,clonazepam,100.0,CIEL:73596,
62,,ACIDO DE FLUOCINOLONA CREMA 0.01G/100G - 30G,acido de fluocinolona crema,alquitrán de hulla,86.0,CIEL:73636,
63,,SHAMPOO ALQUITRAN DE HULLA **ESPECIAL**,shampoo alquitran de hulla,alquitrán de hulla,86.0,CIEL:73636,
64,,COLCHICINA 1MG - 30 TABLETAS,colchicina,colchicina,100.0,CIEL:73702,
65,,CROMOGLICATO - Solución Oftálmica - 20 mg/ml,cromoglicato,cromoglicato,100.0,CIEL:74044,
67,,DANAZOL 100MG - CAPSULAS **ESPECIAL**,danazol,danazol,100.0,CIEL:74233,
75,,ERITROMICINA SUSPENCION 250MG/5ML 100ML,eritromicina suspencion,eritromicina,90.0,CIEL:75842,
76,,ESTROGENOS CONJUGADOS 0.625MG - 21 TABLETAS **ESPECIAL**,estrogenos conjugados,estrogenos,90.0,CIEL:75928,
77,,ESTROGENOS CONJUGADOS CREMA **ESPECIAL**,estrogenos conjugados crema,estrogenos,90.0,CIEL:75928,
80,,FINASTERIDA 5MG 30 TABLETAS,finasterida,finasterida,100.0,CIEL:76376,
82,,FLUTICASONA 50MCG - 120 DOSIS,fluticasona,fluticasona,100.0,CIEL:76586,
83,,ACIDO FOLICO 0.4MCG - 90 TABLETAS,acido folico,ácido fólico,91.0,CIEL:76613,
84,,ACIDO FOLICO 5MG - 20 TABLETAS,acido folico,ácido fólico,91.0,CIEL:76613,
87,,GYNKO BILOBA TABLETAS **ESPECIAL**,gynko biloba tabletas,,,CIEL:77009,ginkgo biloba
88,,GLIPIZIDA 10MG - 20 TABLETAS,glipizida,glipizida,100.0,CIEL:77032,
90,,HIDROCORTISONA/LIDOCAINA (SUPOSITORIOS O PASTA),hidrocortisona lidocaina (supositorios o pasta),,,CIEL:777,hydrocortisone and lidocaine
91,,HIDROXICLOROQUINA 200MG TABLETAS **ESPECIAL**,hidroxicloroquina,hidroxicloroquina,100.0,CIEL:77784,
92,,HIDROXIZINA 10MG TABLETAS,hidroxizina,hidroxizina,100.0,CIEL:77796,
93,,INSULINA GLARGINA - 1 PLUMA,insulina glargina,insulina glargina,100.0,CIEL:78064,
94,,INSULINA MIXTA - 1 PLUMA,insulina mixta,insulina glargina,71.0,CIEL:78064,
95,,INSULINA RAPIDA (lispro o aspart) - 1 PLUMA,insulina rapida (lispro o aspart),insulina glargina,86.0,CIEL:78064,
96,,INSULNA GLARGINA - 1 RECARGA,insulna glargina,insulina glargina,97.0,CIEL:78064,
100,,ITRACONAZOL 100MG 15 CAPSULAS,itraconazol,itraconazol,100.0,CIEL:78338,
101,,IVERMECTINA 6MG 2 TABLETAS,ivermectina,ivermectina,100.0,CIEL:78342,
102,,KETOROLACO 30MG - 6 TABLETAS SUBLINGUAL,ketorolaco,ketorolaco   trometamina,90.0,CIEL:78482,
103,,KETOROLACO INYECTABLE 30MG/ML - 3 AMPOLLAS,ketorolaco inyectable,,,CIEL:78482,
105,,LAMOTRIGINA 100MG - 28 TABLETAS,lamotrigina,lamotrigina,100.0,CIEL:78644,
106,,"LATANOPROST SOLUCION 0.05MG/ML 2,5ML",latanoprost solucion,latanoprost,90.0,CIEL:78677,
107,,LEVETIRACETAM SUSPENCION [Keppra] **ESPECIAL**,levetiracetam suspencion [keppra],levetiracetam,90.0,CIEL:78770,
108,,LEVETIRACETAM TABLETAS 500MG **ESPECIAL**,levetiracetam tabletas,levetiracetam,90.0,CIEL:78770,
109,,LEVOFLOXACINO 500MG - 7 TABLETAS,levofloxacino,levofloxacino,100.0,CIEL:78788,
113,,LORATADINA 10MG - 10 TABLETAS,loratadina,loratadina,100.0,CIEL:79053,
114,,Loratadina Sol. Pediátrica,loratadina sol. pediátrica,loratadina,90.0,CIEL:79053,
115,,LORAZEPAM 1MG - 40 TABLETAS,lorazepam,,,CIEL:79054,lorazepam
