,0
0,CIEL:104317
1,CIEL:104421
2,CIEL:104546
3,CIEL:104676
4,CIEL:104843
5,CIEL:104859
6,CIEL:105169
7,CIEL:159850
8,CIEL:160268
9,CIEL:163404
10,CIEL:1873
11,CIEL:431
12,CIEL:70105
13,CIEL:70496
14,CIEL:70995
15,CIEL:71665
16,CIEL:71681
17,CIEL:71767
18,CIEL:71917
19,CIEL:72053
20,CIEL:72120
21,CIEL:72164
22,CIEL:72217
23,CIEL:72241
24,CIEL:72247
25,CIEL:72411
26,CIEL:72510
27,CIEL:72595
28,CIEL:72794
29,CIEL:73008
30,CIEL:73048
31,CIEL:73338
32,CIEL:73546
33,CIEL:73596
34,CIEL:73636
35,CIEL:73702
36,CIEL:74044
37,CIEL:74233
38,CIEL:75842
39,CIEL:75928
40,CIEL:76376
41,CIEL:76586
42,CIEL:76613
43,CIEL:77009
44,CIEL:77032
45,CIEL:777
46,CIEL:77784
47,CIEL:77796
48,CIEL:78064
49,CIEL:78338
50,CIEL:78342
51,CIEL:78482
52,CIEL:78644
53,CIEL:78677
54,CIEL:78770
55,CIEL:78788
56,CIEL:79053
57,CIEL:79054
58,CIEL:79074
59,CIEL:79251
60,CIEL:79691
61,CIEL:79739
62,CIEL:79743
63,CIEL:80049
64,CIEL:80194
65,CIEL:80236
66,CIEL:80375
67,CIEL:80470
68,CIEL:80514
69,CIEL:80665
70,CIEL:80675
71,CIEL:80696
72,CIEL:81025
73,CIEL:81031
74,CIEL:81294
75,CIEL:81604
76,CIEL:81822
77,CIEL:81861
78,CIEL:81909
79,CIEL:81943
80,CIEL:82315
81,CIEL:82624
82,CIEL:82696
83,CIEL:82862
84,CIEL:82983
85,CIEL:82990
86,CIEL:83362
87,CIEL:83809
88,CIEL:83865
89,CIEL:83902
90,CIEL:84480
91,CIEL:84522
92,CIEL:84646
93,CIEL:84670
94,CIEL:84823
95,CIEL:84893
96,CIEL:85218
97,CIEL:85235
98,CIEL:86155
99,CIEL:913
100,CIEL:931
101,CIEL:79912
102,CIEL:86052
103,CIEL:103349
104,CIEL:70468
105,CIEL:71028
106,CIEL:71101
107,CIEL:72660
108,CIEL:73429
109,CIEL:73453
110,CIEL:73461
111,CIEL:73560
112,CIEL:74666
113,CIEL:74794
114,CIEL:75020
115,CIEL:74935
116,CIEL:75224
117,CIEL:75744
118,CIEL:75929
119,CIEL:104606
120,CIEL:76022
121,CIEL:104633
122,CIEL:76211
123,CIEL:82023
124,CIEL:76515
125,CIEL:77054
126,CIEL:77675
127,CIEL:77714
128,CIEL:72682
129,CIEL:77850
130,CIEL:77594
131,CIEL:78086
132,CIEL:104831
133,CIEL:78251
134,CIEL:78479
135,CIEL:78849
136,CIEL:104735
137,CIEL:79224
138,CIEL:79494
139,CIEL:79532
140,CIEL:79605
141,CIEL:75047
142,CIEL:79696
143,CIEL:79783
144,CIEL:80384
145,CIEL:80395
146,CIEL:80701
147,CIEL:104626
148,CIEL:82898
149,CIEL:82912
150,CIEL:82163
151,CIEL:82228
152,CIEL:82416
153,CIEL:83014
154,CIEL:84454
155,CIEL:84950
156,CIEL:84826
157,CIEL:85157
158,CIEL:84114
159,CIEL:86347
