,Unnamed: 0,name_es,name_clean,old_name_matches_clean,old_name_matches_score,concept,english
0,,CIPROFLOXACINA CREMA **ESPECIAL**,ciprofloxacina crema,ciprofloxacino  dexamentasona gotas,72.0,CIEL:104317,
1,,DESOGESTREL Y ETINILESTRADIOL 0.15MG/0.03MG - 21 TABLETAS,desogestrel y etinilestradiol,desogestrel   etinilestradiol,97.0,CIEL:104421,
2,,CIPROFLOXACINO/DEXAMETASONA SOLUCION OFTALMICA,ciprofloxacino dexametasona solucion oftalmica,dexametasona,90.0,CIEL:104425,ciprofloxacin and Dexamethasone
3,,"DEXAMETASONA 0,5MG - 20 TABLETAS",dexametasona,dexametasona,100.0,CIEL:104425,
4,,DEXAMETASONA INYECTABLE 4MG/ML - 2ML,dexametasona inyectable,dexametasona,90.0,CIEL:104425,
5,,DEXAMETASONA/TOBRAMICINA OFTALMICA 3MG/ML,dexametasona tobramicina oftalmica,dexametasona,90.0,CIEL:104425,
6,,TOBRAMICINA/DEXAMETASONA UGUENTO OFTALMICO,tobramicina dexametasona uguento oftalmico,dexametasona,90.0,CIEL:104425,
7,,DORZOLAMIDA/TIMOLOL OFTALMICA 20MG/5ML,dorzolamida timolol oftalmica,dorzolamida timolol,90.0,CIEL:104546,
8,,TIMOLOL + BRIMONIDINA + DORZOLAMIDA GOTAS OFTALMICAS **ESPECIAL**,timolol   brimonidina   dorzolamida gotas oftalmicas,dorzolamida timolol,86.0,CIEL:104546,
9,,FLUTICASONA/SALMETEROL 250MG/50MG,fluticasona salmeterol,fluticasona salmeterol,100.0,CIEL:104676,
10,,TELMISARTAN 40MG - 14 TABLETAS,telmisartan,telmisartan,100.0,CIEL:104843,
11,,TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12.5MG - TABLETAS,telmisartan hidroclorotiazida,telmisartan,90.0,CIEL:104843,
12,,HIDROCORTISONA INYECTABLE 50MG/ML - 2ML,hidrocortisona inyectable,hidrocortisona   lidocaína,72.0,CIEL:104859,
13,,ALCAFTADINA OFTALMICA **ESPECIAL**,alcaftadina oftalmica,zinc y fenilefrina solucion oftalmica,86.0,CIEL:105169,
14,,TRIMETROPRIMA/SULFAMETOXAZOL 160MG/800MG - 14 TABLETAS,trimetroprima sulfametoxazol,trimetroprima   sulfametoxazol,97.0,CIEL:105281,
15,,TRIMETROPRIMA/SULFAMETOXAZOL 80MG/400MG - 20 TABLETAS,trimetroprima sulfametoxazol,trimetroprima   sulfametoxazol,97.0,CIEL:105281,
16,,TRIMETROPRIMA/SULFAMETOXAZOL SUSPENCION 80 mg/400 mg/100 ml,trimetroprima sulfametoxazol suspencion,trimetroprima   sulfametoxazol,95.0,CIEL:105281,
17,,METFORMINA/GLIBENCLAMIDA 500MG/5MG - 60 TABLETAS,metformina glibenclamida,metformina glibenclamida,100.0,CIEL:159850,
18,,LACOSAMIDA 100MG TABLETAS **ESPECIAL**,lacosamida,,,CIEL:160268,lacosamide
19,,FORMULA LACTEA ETAPA 3 **ESPECIAL**,formula lactea etapa,,,CIEL:163404,"baby formula, stage 3"
20,,IMPLANTE ANTICONCEPTIVO - 1 UNIDAD,implante anticonceptivo,,,CIEL:1873,contraceptive implant
21,,BUTILHIOCINA 20MG/ML - 3 AMPOLLAS DE 1ML,butilhiocina,butilhioscina,96.0,CIEL:431,
22,,BUTILHIOSCINA 10MG - 10 TABLETAS,butilhioscina,butilhioscina,100.0,CIEL:431,
23,,FORMULA ENFAMIL SIN LACTOSA PARA 6-12 MESES **ESPECIAL**,formula enfamil sin lactosa para,,,CIEL:5254,"baby formula, lactose-free, 6-12 months"
24,,FORMULA LACTEA PARA NINO MAYOR DE 6 MESES **ESPECIAL**,formula lactea para nino mayor de,,,CIEL:5254,"baby formula, > 6 months"
25,,FORMULA LACTEA PARA NINO MENOR DE 6 MESES **ESPECIAL**,formula lactea para nino menor de,,,CIEL:5254,"baby formula, < 6 months"
26,,FORMULA LACTEA PARA PREMATURO **ESPECIAL**,formula lactea para prematuro,,,CIEL:5254,baby formula for premature
27,,ACENOCUMAROL 4MG - 20 TABLETAS **ESPECIAL**,acenocumarol,acenocumarol,100.0,CIEL:70105,
28,,ACICLOVIR 400MG - 35 TABLETAS,aciclovir,aciclovir,100.0,CIEL:70245,
29,,ACIDO ALENDRONICO 70MG - 4 TABLETAS **ESPECIAL**,acido alendronico,alendronato,74.0,CIEL:70496,
30,,ALOPURINOL 300MG - 30 TABLETAS,alopurinol,alopurinol,100.0,CIEL:70878,
31,,"ALUMINIO, MAGNESIO Y DIMETICONA - 50 TABLETAS",aluminio,aluminio magnesio – dimeticona,90.0,CIEL:70995,
32,,"ALUMINIO, MAGNESIO Y DIMETICONA - SUSPENCION 320 ML",aluminio,aluminio magnesio – dimeticona,90.0,CIEL:70995,
33,,AMIODARONA 200MG - 20 TABLETAS **ESPECIAL**,amiodarona,amiodarona,100.0,CIEL:71118,
34,,AMLODIPINO 5MG - 10 TABLETAS,amlodipino,amlodipino,100.0,CIEL:71138,
35,,ATORVASTATINA 40 mg,atorvastatina,,,CIEL:71665,atorvastatin
36,,ATROPINA INYECTABLE 1 MG/ML - 1 AMPOLLA **ESPECIAL**,atropina inyectable,atropina,90.0,CIEL:71681,
37,,ATROPINA OFTALMICA **ESPECIAL**,atropina oftalmica,atropina,90.0,CIEL:71681,
38,,AZATIOPRINA 50MG **ESPECIAL**,azatioprina,azatioprina,100.0,CIEL:71767,
39,,BECLOMETASONA 250MCG/100G - AEROSOL,beclometasona,dipropionato de beclometasona,90.0,CIEL:71917,
40,,BENZONATATO 100MG - 20 CAPSULAS,benzonatato,benzonatato,100.0,CIEL:72053,
41,,BETAMETASONA 0.1% - CREMA,betametasona,betametasona,100.0,CIEL:72120,
42,,BETAMETASONA INYECTABLE 4MG/ML - 2ML,betametasona inyectable,betametasona,90.0,CIEL:72120,
43,,Bicalutamida 50 mg **ESPECIAL**,bicalutamida,,,CIEL:72164,bicalutamide
44,,BIPERIDENO 1 MG 6 30 TABLETAS,biperideno,biperideno,100.0,CIEL:72217,
45,,BIPERIDENO 2 MG - 30 TABLETAS,biperideno,biperideno,100.0,CIEL:72217,
46,,BISMUTO (SUBSALICILATO) 262MG - 24 TABLETAS,bismuto (subsalicilato),subsalicilato de bismuto,95.0,CIEL:72241,
47,,BISMUTO (SUBSALICILATO) SUSPENCION - 120ML,bismuto (subsalicilato) suspencion,subsalicilato de bismuto,88.0,CIEL:72241,
48,,BISOPROLOL 2.5MG - TABLETAS **ESPECIAL**,bisoprolol,,,CIEL:72247,bisoprolol
49,,BROMOCRIPTINA - Tableta,bromocriptina,bromocriptina,100.0,CIEL:72411,
50,,"BUPROENORFINA INYECTABLE 0,3MG/ML",buproenorfina inyectable,,,CIEL:72510,buprenorphine
51,,CABERGOLINA 0.5 MG - 2 TABLETAS **ESPECIAL**,cabergolina,cabergolina,100.0,CIEL:72595,
52,,CARBETOCINA INYECTABLE 100 MCG - 1 AMPOLLA,carbetocina inyectable,,,CIEL:72794,carbetocin
53,,METAMIZOL 500MG TABLETAS,metamizol,,,CIEL:73008,Metamizole
54,,METAMIZOL INYECTABLE 1G - 3 AMPOLLAS,metamizol inyectable,,,CIEL:73008,Metamizole
55,,CELECOXIB 200MG **ESPECIAL**,celecoxib,,,CIEL:73048,celecoxib
56,,CEFALEXINA 500MG - 12 TABLETAS,cefalexina,cefalexina,100.0,CIEL:73087,
57,,CLORTALIDONA 50MG - 20 TABLETAS,clortalidona,clortalidona,100.0,CIEL:73338,
58,,CLINDAMICINA - GEL,clindamicina,clindamicina,100.0,CIEL:73546,
59,,CLINDAMICINA 300MG - 16 CAPSULAS,clindamicina,clindamicina,100.0,CIEL:73546,
60,,CLONAZEPAM 2MG - 30 TABLETAS,clonazepam,clonazepam,100.0,CIEL:73596,
61,,CLOPIDOGREL - Tableta,clopidogrel,clopidogrel,100.0,CIEL:73602,
62,,ACIDO DE FLUOCINOLONA CREMA 0.01G/100G - 30G,acido de fluocinolona crema,alquitrán de hulla,86.0,CIEL:73636,
63,,SHAMPOO ALQUITRAN DE HULLA **ESPECIAL**,shampoo alquitran de hulla,alquitrán de hulla,86.0,CIEL:73636,
64,,COLCHICINA 1MG - 30 TABLETAS,colchicina,colchicina,100.0,CIEL:73702,
65,,CROMOGLICATO - Solución Oftálmica,cromoglicato,cromoglicato,100.0,CIEL:74044,
66,,CICLOSPORINA EMULSION **ESPECIAL**,ciclosporina emulsion,,,CIEL:74125,cyclosporine
67,,DANAZOL 100MG - CAPSULAS **ESPECIAL**,danazol,danazol,100.0,CIEL:74233,
68,,DICLOFENACO 100MG - 20 TABLETAS,diclofenaco,diclofenaco,100.0,CIEL:74782,
69,,DICLOFENACO GEL 1.16% - 60G,diclofenaco gel,diclofenaco,95.0,CIEL:74782,
70,,DICLOFENACO SOLUCION INYECTABLE 75MG - 1 AMPOLLA,diclofenaco solucion inyectable,diclofenaco,90.0,CIEL:74782,
71,,DIFENHIDRAMINA - Jarabe,difenhidramina,difenhidramina,100.0,CIEL:75015,
72,,DIFENHIDRAMINA - Solución Inyectable,difenhidramina,difenhidramina,100.0,CIEL:75015,
73,,DIFENHIDRAMINA 25MG - 30 CAPSULAS,difenhidramina,difenhidramina,100.0,CIEL:75015,
