060.016.0204,ACEITE LUBRICANTE  PARA PIEZA DE MANO DE BAJA VELOCIDAD,ENVASE C/240 ML.,CIEL:162138,lubricant jelly,,
600160154,ACEITE MINERAL PARA USO EXTERNO,FRASCO CON 250 ML,CIEL:79912,"mineral oil, light",,
010.000.0624.00,"ACENOCUMAROL DE 4 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70105,acenocoumarol,96,
010.000.0624.01,"ACENOCUMAROL DE 4 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:70105,acenocoumarol,96,
010.000.0103.00,"ÁCIDO ACETILSALICÍLICO DE 300 MG, TABLETA  SOLUBLE  O EFERVESCENTE, ENVASE CON 20 TABLETAS SOLUBLES  O EFERVESCENTES.",20 TABLETAS SOLUBLES  O EFERVESCENTES,PIH:88,acetylsalicylic acid,81,
010.000.0101.00,"ÁCIDO ACETILSALICÍLICO DE 500 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:88,acetylsalicylic acid,81,
010.000.2707.00,"ÁCIDO ASCÓRBICO  DE 100 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,PIH:4041,,,
010.000.1711.00,"ÁCIDO FÓLICO DE 0.4 MG, TABLETA, ENVASE CON 90 TABLETAS.",90 TABLETAS,CIEL:76613,folic acid,80,
010.000.1700.00,"ÁCIDO FÓLICO DE 4 MG, TABLETA, ENVASE CON 90 TABLETAS.",90 TABLETAS,CIEL:76613,folic acid,80,
010.000.1706.00,"ÁCIDO FÓLICO DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:76613,folic acid,80,
010.000.1706.01,"ÁCIDO FÓLICO DE 5 MG, TABLETA, ENVASE CON 92 TABLETAS.",92 TABLETAS,CIEL:76613,folic acid,80,
010.000.2620.00,"ÁCIDO VALPROICO  DE 250 MG, CÁPSULA, ENVASE CON 60 CÁPSULAS.",60 CÁPSULAS,CIEL:86052,valproic acid,89,
010.000.5132.00,ALANTOÍNA  ALQUITRÁN  DE HULLA Y CLIOQUINOL  CREMA 0.2 G/100 G/ 5 G/100 G Y 3 G/100 G,ENVASE CON 60 G.,CIEL:103349,allantoin / coal tar,,
010.000.0831.00,"ALANTOÍNA  Y ALQUITRÁN  DE HULLA DE 20.0 MG / 9.4 MG / ML, SUSPENSIÓN DÉRMICA, ENVASE CON 120 ML.",ENVASE CON 120 ML,CIEL:103349,,,
010.000.1347.00,"ALBENDAZOL  DE 200 MG, TABLETA, ENVASE CON 100 TABLETAS.",100 TABLETAS,PIH:941,albendazole,95,
010.000.1344.00,"ALBENDAZOL  DE 200 MG, TABLETA, ENVASE CON 2 TABLETAS.",2 TABLETAS,PIH:941,albendazole,95,
010.000.1345.00,"ALBENDAZOL  DE 400 MG / 20 ML, SUSPENSIÓN  ORAL, ENVASE CON 20 ML.",ENVASE CON 20 ML,PIH:941,albendazole,95,
010.000.2172.00,"ALCOHOL  POLIVINÍLICO  DE 14 MG/ML,  SOLUCIÓN  OFTÁLMICA,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:82315,polyvinyl alcohol,83,
060.066.0773,ALCOHOL DESNATURALIZADO,ENVASE CON 20 L.,CIEL:70468,alcohols,93,
060.066.0039,ALCOHOL DESNATURALIZADO. ENVASE CON 1 LITRO,ENVASE CON 1 L.,CIEL:70468,alcohols,93,
010.000.2503.00,"ALOPURINOL  DE 100 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70878,allopurinol,95,
010.000.2503.01,"ALOPURINOL  DE 100 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:70878,allopurinol,95,
010.000.3451.00,"ALOPURINOL  DE 300 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70878,allopurinol,95,
010.000.1223.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 200 MG/447.3  MG, TABLETA MASTICABLE,  ENVASE CON 50 TABLETAS MASTICABLES.",50 TABLETAS,PIH:314,,,
010.000.1224.00,"ALUMINIO,  HIDRÓXIDO  DE - MAGNESIO  TRISILICATO  DE DE 3.7 MG/8.9  G/100 ML, SUSPENSIÓN  ORAL, ENVASE CON 240 ML Y DOSIFICADOR.",ENVASE CON 240 ML,PIH:314,,,
010.000.2462.00,"AMBROXOL,   CLORHIDRATO  DE  DE  30  MG,  COMPRIMIDO, ENVASE  CON  20 COMPRIMIDOS.",20 COMPRIMIDOS,CIEL:71028,ambroxol,100,
010.000.2463.00,"AMBROXOL,  CLORHIDRATO DE DE 300 MG/100  ML, SOLUCIÓN,  ENVASE  CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:71028,ambroxol,100,
010.000.0426.00,"AMINOFILINA   DE  250  MG/10  ML,  SOLUCIÓN   INYECTABLE,   ENVASE   CON  5 AMPOLLETAS DE 10 ML.",5 AMPOLLETAS DE 10 ML,CIEL:71101,,,
010.000.2111.00,AMLODIPINO  TABLETAS O CAPSULAS  5 MG.,ENVASE CON 10 Ó 30 CAPSULAS  O TABLETAS,CIEL:71138,amlodipine besylate,,
010.000.2111.00,"AMLODIPINO,  BESILATO  DE DE 5 MG, TABLETA  O CÁPSULA,  ENVASE  CON 10 TABLETAS O CÁPSULAS.",10 TABLETAS O CÁPSULAS.,CIEL:71138,amlodipine besylate,81,
010.000.2128.00,"AMOXICILINA    TRIHIDRATADA   DE   500   MG,   CÁPSULA,    ENVASE    CON   12 CÁPSULAS.",12 CÁPSULAS,PIH:265,amoxicillin,82,
010.000.2128.01,"AMOXICILINA    TRIHIDRATADA   DE   500   MG,   CÁPSULA,    ENVASE    CON   15 CÁPSULAS.",15 CÁPSULAS,PIH:265,amoxicillin,82,
010.000.2230.00,"AMOXICILINA    TRIHIDRATADA  -   ÁCIDO   CLAVULÁNICO  (CLAVULANATO  DE POTASIO) DE 500 MG/125 MG, TABLETA, ENVASE CON 12 TABLETAS.",12 TABLETAS,PIH:450,amoxicillin,82,
010.000.2230.01,"AMOXICILINA    TRIHIDRATADA  -   ÁCIDO   CLAVULÁNICO  (CLAVULANATO  DE POTASIO) DE 500 MG/125 MG, TABLETA, ENVASE CON 16 TABLETAS.",16 TABLETAS,PIH:450,amoxicillin,82,
010.000.2130.00,"AMOXICILINA  SÓDICA - ÁCIDO CLAVULÁNICO (CLAVULANATO DE POTASIO) DE 500 MG/100  MG, SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA CON 10 ML DE DILUYENTE.",ENVASE CON UN FRASO ÁMPULA CON 10 ML,PIH:450,amoxicillin,82,
010.000.2129.00,"AMOXICILINA  TRIHIDRATADA - ÁCIDO CLAVULÁNICO (CLAVULANATO DE POTASIO)  DE 1.5 G/375 MG / 60 ML, SUSPENSIÓN  ORAL, ENVASE  CON 60 ML, CADA 5 ML CON 125 MG DE AMOXICILINA  Y 31.25 MG ÁCIDO CLAVULÁNICO.",ENVASE CON 60 ML,PIH:450,amoxicillin,82,
010.000.2127.00,"AMOXICILINA  TRIHIDRATADA DE 75 G / 75 ML, SUSPENSIÓN  ORAL,  ENVASE CON POLVO PARA 75 ML (500 MG/5 ML).",ENVASE PARA 75 ML,PIH:265,amoxicillin,82,
010.000.1930.00,"AMPICILINA  TRIHIDRATADA DE 250 MG / 5 ML, SUSPENSIÓN  ORAL,  ENVASE CON POLVO PARA 60 ML Y DOSIFICADOR.",ENVASE PARA 60 ML,PIH:269,ampicillin,81,
010.000.1929.00,"AMPICILINA  TRIHIDRATADA DE 500 MG, TABLETA  O CÁPSULA,  ENVASE  CON 20 TABLETAS O CÁPSULAS.",20 TABLETAS O CÁPSULAS,PIH:269,ampicillin,81,
010.000.0477.00,"BECLOMETASONA, DIPROPIONATO DE  10  MG,  SUSPENSIÓN   EN  AEROSOL, ENVASE CON INHALADOR  CON 200 DOSIS DE 50 µG.",ENVASE CON INHALADOR  CON 200 DOSIS DE50 MICROGRAMO,PIH:1240,beclomethasone,89,
010.000.2508.00,"BECLOMETASONA, DIPROPIONATO DE DE 50 MG, SUSPENSIÓN  EN AEROSOL, ENVASE CON INHALADOR  CON 200 DOSIS DE 250 µG.",INHALADOR  CON 200 DOSIS DE  250 MICROGRAMO,PIH:1240,beclomethasone,89,
010.000.0861.00,"BENCILO,  BENZOATO  DE DE 300 MG / ML, EMULSIÓN  DÉRMICA,  ENVASE CON 120 ML.",ENVASE CON 120 ML,PIH:409,benzylbenzoate,,
010.000.1938.00,"BENCILPENICILINA BENZATÍNICA  COMPUESTA  SUSPENSIÓN  INYECTABLE  - BENZATÍNICA  600  000  UI, PROCAÍNICA  300  000  UI, CRISTALINA  300  000  UI - FRASCO ÁMPULA Y DILUYENTE  CON 3 ML",ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 3 ML.,PIH:4034,benzylpenicillin,,
010.000.0071.00,"BENZATINA   BENCILPENICILINA  DE  600  000  UI,  SUSPENSIÓN   INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,PIH:4034,benzylpenicillin,,
010.000.1925.00,"BENZATINA  BENCILPENICILINA DE  1 200  000  UI,  SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,PIH:4034,,,
010.000.0822.00,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 30 ML.",ENVASE CON 30 ML,CIEL:72063,,,
010.000.0822.01,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 50 ML.",ENVASE CON 50 ML,CIEL:72063,,,
010.000.0822.02,"BENZOILO,  PERÓXIDO DE DE 5 G / 100 G, GEL DÉRMICO, ENVASE CON 60 G.",ENVASE CON 60 ML,CIEL:72063,,,
010.000.2433.00,BENZONATATO PERLA CADA PERLA CONTIENE BENZONATATO 100 MG,ENVASE CON 20 PERLAS,CIEL:72053,benzonatate,,
010.000.1263.00,"BISMUTO,    SUBSALICILATO   DE   DE   1.750   G/100ML,    SUSPENSIÓN    ORAL, ENVASE CON 240 ML.",ENVASE CON 240 ML,CIEL:72241,BISMUTH SUBSALICYLATE,-,
