010.000.3623.00,"ELECTROLITOS ORALES   DE (GLUCOSA  ANHIDRA  20 G, POTASIO,  CLORURO DE, 1.5 G, SODIO, CLORURO  DE, 3.5 G, CITRATO TRISÓDICO  DIHIDRATADO 2.9 G, POLVO PARA SOLUCIÓN,  ENVASE CON 27.9 G.",ENVASE CON 27.9 G,,electrolitos orales
010.000.3622.00,"ELECTROLITOS ORALES  DE GLUCOSA  ANHIDRA  13.5 G, POTASIO  CLORURO DE, 1.5 G, SODIO CLORURO  DE, 2.6, CITRATO TRISÓDICO  DIHIDRATADO 2.9 G, POLVO, ENVASE CON 20.5 G.",ENVASE CON 20.5 G,,electrolitos orales
^^^ https://www.openconceptlab.org/orgs/CIEL/sources/CIEL/concepts/104184/details/ ??


020.000.3842.00,"SUERO   ANTIALACRÁN  (ANTICUERPOS  DE   CABALLO)   DE   CADA   FRASCO ÁMPULA CON LIOFILIZADO  CONTIENE: ANTICUERPOS DE CABALLO CONCENTRADOS Y MODIFICADOS POR DIGESTIÓN  ENZIMÁTICA,  PARA NEUTRALIZAR 150 DL(50) DE VENENO DE ALACRÁN DEL GÉNERO CENTRUROIDES., SOLUCIÓN INYECTABLE,  ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 5 ML (UNA DOSIS).",FRASCO ÁMPULA Y DILUYENTE  CON 5 ML,,suero   antialacrán
020.000.3843.00,"SUERO   ANTIVIPERINO  (ANTICUERPOS  DE   CABALLO)   DE   CADA   FRASCO ÁMPULA CON LIOFILIZADO  CONTIENE: ANTICUERPOS DE CABALLO CONCENTRADOS Y MODIFICADOS POR DIGESTIÓN  ENZIMÁTICA  QUE NEUTRALIZAN NO MENOS DE 790 DL(50) DE VENENO DE CROTALUS BASSILISCUS  Y NO MENOS DE 780 DL(50) DE VENENO  DE BOTHROPS  ASPER BOTHROPS   ASPER,   SOLUCIÓN   INYECTABLE,    ENVASE   CON   UN   FRASCO ÁMPULA Y DILUYENTE  CON 10 ML.",FRASCO ÁMPULA Y DILUYENTE  CON 10 ML,,suero   antiviperino
010.000.1704.00,"SULFATO  FERROSO  HEPTAHIDRATADO DE 125 MG / ML, EQUIVALENTE A 25 MG/ML DE HIERRO ELEMENTAL,  SOLUCIÓN,  ENVASE GOTERO CON 15 ML.",ENVASE GOTERO CON 15 ML,,sulfato  ferroso  heptahidratado
010.000.5075.00,"TEOFILINA   ANHIDRA   DE  533  MG/100   ML,  ELÍXIR,  ENVASE   CON  450  ML  Y DOSIFICADOR.",ENVASE CON 450 ML,,teofilina   anhidra
010.000.0437.00,"TEOFILINA  ANHIDRA  DE  100  MG.,  COMPRIMIDO  Ó TABLETA  O CÁPSULA  DE LIBERACIÓN  PROLONGADA, ENVASE  CON  20 COMPRIMIDOS O TABLETAS  O CÁPSULAS  DE LIBERACIÓN  PROLONGADA.",20 COMPRIMIDOS Ó TABLETAS Ó CÁPSULAS  DE LIBERACIÓN PROLONGADA,,teofilina  anhidra
010.000.0591.00,"TRINITRATO  DE  GLICERILO  DE  0.8  MG,  CÁPSULA  O TABLETA  MASTICABLE, ENVASE CON 24 CÁPSULAS  O TABLETAS MASTICABLES.",24 CÁPSULAS  O TABLETAS,,trinitrato
010.000.0801.00,BAÑO  COLOIDE  POLVO  CADA  GRAMO  CONTIENE:HARINA DE SOYA  965 MG. (CONTENIDO  PROTEICO 45%)POLIVIDONA 20 MG.,ENVASE CON DOS SOBRES INDIVIDUALES DE 90 G.,,baño  coloi
010.000.0113.00,"BUTILHIOSCINA - METAMIZOL  GRAGEA 10 MG/ 250 MG,",ENVASE CON 36 GRAGEAS,,butilhioscina
010.000.2146.00,BUTILHIOSCINA - METAMIZOL  SOLUCIÓN INYECTABLE  20 MG/2.5 G/5 ML,ENVASE CON 5 AMPOLLETAS DE 5 ML.,,butilhioscina
1006,CALCIO COMPRIMIDO EFERVESCENTE CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE. ,12 comprimidos,,calcio comprimido efervescente cada comprimido contiene: lactato gluconato
010.000.5551.00,"DABIGATRÁN   ETEXILATO  MESILATO  DE  75  MG,  CÁPSULA,  ENVASE  CON  30 CÁPSULAS.",ENVASE CON 30 CÁPSULAS.,,dabigatrán   etexilato  mesilato
010.000.5552.00,"DABIGATRÁN  ETEXILATO  MESILATO  DE 110 MG,  CÁPSULA,  ENVASE  CON 30 CÁPSULAS.",ENVASE CON 30 CÁPSULAS.,,dabigatrán  etexilato  mesilato
010.000.0626.01,"FITOMENADIONA  SOLUCIÓN   O  EMULSIÓN   INYECTABLE,   CADA  AMPOLLETA CONTIENE   FITOMENADIONA 10 MG. PRESENTACIÓN: 5 AMPOLLETAS CON 1.0 ML",ENVASE CON 5 AMPOLLETAS DE 1 ML.,,fitomenadiona  solución   o  emulsión   inyectable
010.000.4134.01,HIDROQUINONA CREMA 4 G/ 100 G,ENVASE CON 15 Ó 30 G.,,hidroquinona crema
010.000.1705.00,HIERRO  DEXTRÁN  SOLUCIÓN  INYECTABLE  - 100  MG/2  ML  - 3 AMPOLLETAS CON 2 ML,ENVASE,,hierro
010.000.1712.00,HIERRO AMINOQUELADO Y ÁCIDO FÓLICO TABLETA  - HIERRO ELEMENTAL  30 MG ÁCIDO FÓLICO 0.500 MG - 30 TABLETAS,ENVASE,,hierro aminoquelado y ácido fólico tableta
010.000.5621.00,"LINAGLIPTINA DE 5 MG, TABLETA, ENVASE CON 30 TABLETAS.",ENVASE CON 30 TABLETAS.,,linagliptina
010.000.5742.00,"LINAGLIPTINA,  CLORHIDRATO  DE   METFORMINA  DE   2.5   MG   /   1000   MG, TABLETA, ENVASE CON 60 TABLETAS",ENVASECON60TABLET AS,,linagliptina
010.000.4184.00,LOPERAMIDA  TABLETA CADA COMPRIMIDO  TABLETAS  O GRAGEA CONTIENE: CLORHIDRATO DE LOPERAMIDA  2 MG.,ENVASE CON 12 TABLETAS.,,loperamida  tableta cada comprimido  tabletas  o gragea contiene: clorhidrato
010.000.4152.01,"SITAGLIPTINA  MONOHIDRATADA,  FOSFATO   DE  DE  100  MG,  COMPRIMIDO, ENVASE CON 28 COMPRIMIDOS.",ENVASE CON 28 COMPRIMIDOS.,,sitagliptina  monohidratada
