Code, Local Name, Route and Dose, English Concept Name,Synonym
010.000.0871.00,"ALIBOUR (SULFATO  DE COBRE, SULFATO DE ZINC Y ALCANFOR)  DE 177.0 MG / 619.5 MG / 26.5 MG / G, POLVO, ENVASE CON 12 SOBRES CON 2.2 G.",12 SOBRES CON 2.2 G,"Alibour (Copper sulfate, zinc sulfate, and camphor)",
010.000.0801.01,"BAÑO  COLOIDE  (HARINA  DE  SOYA  Y POLIVIDONA)  DE 965  MG / 20 MG  / G, POLVO, ENVASE CON DOS SOBRES INDIVIDUALES DE 90 G.",DOS SOBRES CON 90 G,Colloid Bath (soy oatmeal / povidone),
010.000.0801.00,"BAÑO  COLOIDE  (HARINA  DE  SOYA  Y POLIVIDONA)  DE 965  MG / 20 MG  / G, POLVO, ENVASE CON UN SOBRE INDIVIDUAL  DE 90 G.",UN SOBRE CON 90 G,Colloid Bath (soy oatmeal / povidone),
010.000.1923.00,"BENCILPENICILINA PROCAÍNICA  CON BENCILPENICILINA CRISTALINA  DE PROCAÍNICA  300  000  UI CRISTALINA  100  000  UI, SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 2 ML DE DILUYENTE.",FRASCO ÁMPULA Y DILUYENTE  CON 2 ML,procaine benzylpenicillin with crystalline benzylpenicillin,
010.000.1924.00,"BENCILPENICILINA PROCAÍNICA  CON BENCILPENICILINA CRISTALINA  DE PROCAÍNICA  600  000  UI CRISTALINA  200  000  UI, SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 2 ML DE DILUYENTE.",FRASCO ÁMPULA Y DILUYENTE  CON 2 ML,procaine benzylpenicillin with crystalline benzylpenicillin,
010.000.2510.00,"BENCILPENICILINA PROCAÍNICA  DE 2 400 000 UI, SUSPENSIÓN  INYECTABLE, ENVASE CON UN FRASCO ÁMPULA CON DILUYENTE.",FRASCO ÁMPULA CON DILUYENTE,procaine benzylpenicillin,
010.000.2175.00,"CLORANFENICOL LEVÓGIRO Y SULFACETAMIDA SÓDICA DE 0.5 G/10G/100 ML, SUSPENSIÓN  OFTÁLMICA,  ENVASE CON GOTERO INTEGRAL CON 5 ML.",GOTERO INTEGRAL CON 5 ML,chloramphenicol / sodium sulfacetamide,
020.000.3847.00,"FABOTERÁPICO  POLIVALENTE  ANTIALACRÁN  DE  CADA   FRASCO   ÁMPULA CON LIOFILIZADO  CONTIENE:  FABOTERÁPICO POLIVALENTE ANTIALACRÁN MODIFICADO   POR  DIGESTIÓN  ENZIMÁTICA   PARA  NEUTRALIZAR 150  DL(50) (1.8 MG) DE VENENO DE ALACRÁN  DEL GÉNERO CENTRUROIDES., SOLUCIÓN INYECTABLE,    ENVASE   CON   UN   FRASCO   ÁMPULA   CON   LIOFILIZADO    Y AMPOLLETA  CON DILUYENTE  DE 5 ML.",FRASCO ÁMPULA CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE  DE 5 ML.,Polyvalent Scorpion Antivenom,
020.000.3848.00,"FABOTERÁPICO  POLIVALENTE  ANTIARÁCNIDO  DE  CADA  FRASCO  ÁMPULA CON  LIOFILIZADO  CONTIENE:  FABOTERÁPICO POLIVALENTE ANTIARÁCNIDO MODIFICADO  POR  DIGESTIÓN  ENZIMÁTICA  PARA  NEUTRALIZAR 6000  DL(50) (180 GLÁNDULAS  DE VENENO  ARÁCNIDO),  SOLUCIÓN  INYECTABLE,  ENVASE CON UN FRASCO  ÁMPULA  CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE DE 5 ML.",FRASCO ÁMPULA CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE  DE 5 ML.,Polyvalent Spider Antivenom,
020.000.3849.00,"FABOTERÁPICO  POLIVALENTE  ANTIVIPERINO  DE  CADA   FRASCO   ÁMPULA CON  LIOFILIZADO   CONTIENE:   FABOTERÁPICO  POLIVALENTE ANTIVIPERINO MODIFICADO  POR  DIGESTIÓN  ENZIMÁTICA  PARA  NEUTRALIZAR NO  MENOS DE 790 DL(50) DE VENENO  DE CROTALUS  BASSILISCUS  Y NO MENOS DE 780 DL(50) DE VENENO  DE BOTHROPS  ASPER.,  SOLUCIÓN  INYECTABLE,  ENVASE CON UN FRASCO  ÁMPULA  CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE DE 10 ML.",FRASCO ÁMPULA CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE  DE 10 ML.,Polyvalent Snake Antivenom,
020.000.3850.00,"FABOTERÁPICO POLIVALENTE ANTICORALILLO DE  CADA  FRASCO  ÁMPULA CON LIOFILIZADO  CONTIENE:  FABOTERÁPICO POLIVALENTE ANTICORALILLO MODIFICADO  POR DIGESTIÓN  ENZIMÁTICA  PARA NEUTRALIZAR 450 DL(50) (5 MG)  DE VENENO  DE MICRURUS  SP.,  SOLUCIÓN  INYECTABLE,  ENVASE  CON UN FRASCO  ÁMPULA  CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE  DE 5 ML.",FRASCO ÁMPULA CON LIOFILIZADO  Y AMPOLLETA  CON DILUYENTE  DE 5 ML.,Polyvalent Milksnake Antivenom,
010.000.3506.00,"NORETISTERONA  Y  ETINILESTRADIOL  DE  0.400  MG/0.035   MG,  GRAGEA   O TABLETA, ENVASE CON 28 TABLETAS O GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES).",28 TABLETAS O GRAGEAS (21 CON HORMONALES Y 7 SIN HORMONALES),Ethinylestradiol / norethisterone,
010.000.0801.00,BAÑO  COLOIDE  POLVO  CADA  GRAMO  CONTIENE:HARINA DE SOYA  965 MG. (CONTENIDO  PROTEICO 45%)POLIVIDONA 20 MG.,ENVASE CON DOS SOBRES INDIVIDUALES DE 90 G.,Colloid Bath (soy oatmeal / povidone),
010.000.5551.00,"DABIGATRÁN   ETEXILATO  MESILATO  DE  75  MG,  CÁPSULA,  ENVASE  CON  30 CÁPSULAS.",ENVASE CON 30 CÁPSULAS.,Dabigatran,
010.000.5552.00,"DABIGATRÁN  ETEXILATO  MESILATO  DE 110 MG,  CÁPSULA,  ENVASE  CON 30 CÁPSULAS.",ENVASE CON 30 CÁPSULAS.,Dabigatran,
