,0
0,CIEL:79912
1,CIEL:70105
2,CIEL:76613
3,CIEL:86052
4,CIEL:103349
5,CIEL:82315
6,CIEL:70468
7,CIEL:71028
8,CIEL:71101
9,CIEL:72053
10,CIEL:72241
11,CIEL:72411
12,CIEL:431
13,CIEL:72660
14,CIEL:73429
15,CIEL:73453
16,CIEL:73461
17,CIEL:73546
18,CIEL:73560
19,CIEL:913
20,CIEL:73338
21,CIEL:73702
22,CIEL:74044
23,CIEL:104421
24,CIEL:74666
25,CIEL:74794
26,CIEL:75020
27,CIEL:74935
28,CIEL:75224
29,CIEL:75744
30,CIEL:75842
31,CIEL:75929
32,CIEL:104606
33,CIEL:76022
34,CIEL:104633
35,CIEL:76211
36,CIEL:81909
37,CIEL:82023
38,CIEL:76515
39,CIEL:77054
40,CIEL:77675
41,CIEL:77714
42,CIEL:72682
43,CIEL:77850
44,CIEL:77594
45,CIEL:78064
46,CIEL:78086
47,CIEL:104831
48,CIEL:78251
49,CIEL:78338
50,CIEL:78479
51,CIEL:78482
52,CIEL:78849
53,CIEL:104859
54,CIEL:104735
55,CIEL:79053
56,CIEL:79074
57,CIEL:79224
58,CIEL:79494
59,CIEL:79532
60,CIEL:79605
61,CIEL:75047
62,CIEL:79696
63,CIEL:79783
64,CIEL:80049
65,CIEL:80384
66,CIEL:80395
67,CIEL:80514
68,CIEL:80675
69,CIEL:80701
70,CIEL:80696
71,CIEL:104626
72,CIEL:81604
73,CIEL:82898
74,CIEL:82912
75,CIEL:82163
76,CIEL:82862
77,CIEL:82228
78,CIEL:82416
79,CIEL:83014
80,CIEL:83809
81,CIEL:84454
82,CIEL:104843
83,CIEL:84950
84,CIEL:84826
85,CIEL:84893
86,CIEL:85157
87,CIEL:84114
88,CIEL:86347
89,CIEL:105169
