,code,name_es,packaging,concept,search term,score
1,600160154,ACEITE MINERAL PARA USO EXTERNO,FRASCO CON 250 ML,CIEL:79912,"mineral oil, light",
2,010.000.0624.00,"ACENOCUMAROL DE 4 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70105,acenocoumarol,96
3,010.000.0624.01,"ACENOCUMAROL DE 4 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:70105,acenocoumarol,96
7,010.000.1711.00,"ÁCIDO FÓLICO DE 0.4 MG, TABLETA, ENVASE CON 90 TABLETAS.",90 TABLETAS,CIEL:76613,folic acid,80
8,010.000.1700.00,"ÁCIDO FÓLICO DE 4 MG, TABLETA, ENVASE CON 90 TABLETAS.",90 TABLETAS,CIEL:76613,folic acid,80
9,010.000.1706.00,"ÁCIDO FÓLICO DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:76613,folic acid,80
10,010.000.1706.01,"ÁCIDO FÓLICO DE 5 MG, TABLETA, ENVASE CON 92 TABLETAS.",92 TABLETAS,CIEL:76613,folic acid,80
11,010.000.2620.00,"ÁCIDO VALPROICO  DE 250 MG, CÁPSULA, ENVASE CON 60 CÁPSULAS.",60 CÁPSULAS,CIEL:86052,valproic acid,89
12,010.000.5132.00,ALANTOÍNA  ALQUITRÁN  DE HULLA Y CLIOQUINOL  CREMA 0.2 G/100 G/ 5 G/100 G Y 3 G/100 G,ENVASE CON 60 G.,CIEL:103349,allantoin / coal tar,
13,010.000.0831.00,"ALANTOÍNA  Y ALQUITRÁN  DE HULLA DE 20.0 MG / 9.4 MG / ML, SUSPENSIÓN DÉRMICA, ENVASE CON 120 ML.",ENVASE CON 120 ML,CIEL:103349,,
17,010.000.2172.00,"ALCOHOL  POLIVINÍLICO  DE 14 MG/ML,  SOLUCIÓN  OFTÁLMICA,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:82315,polyvinyl alcohol,83
18,060.066.0773,ALCOHOL DESNATURALIZADO,ENVASE CON 20 L.,CIEL:70468,alcohols,93
19,060.066.0039,ALCOHOL DESNATURALIZADO. ENVASE CON 1 LITRO,ENVASE CON 1 L.,CIEL:70468,alcohols,93
25,010.000.2462.00,"AMBROXOL,   CLORHIDRATO  DE  DE  30  MG,  COMPRIMIDO, ENVASE  CON  20 COMPRIMIDOS.",20 COMPRIMIDOS,CIEL:71028,ambroxol,100
26,010.000.2463.00,"AMBROXOL,  CLORHIDRATO DE DE 300 MG/100  ML, SOLUCIÓN,  ENVASE  CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:71028,ambroxol,100
27,010.000.0426.00,"AMINOFILINA   DE  250  MG/10  ML,  SOLUCIÓN   INYECTABLE,   ENVASE   CON  5 AMPOLLETAS DE 10 ML.",5 AMPOLLETAS DE 10 ML,CIEL:71101,,
48,010.000.2433.00,BENZONATATO PERLA CADA PERLA CONTIENE BENZONATATO 100 MG,ENVASE CON 20 PERLAS,CIEL:72053,benzonatate,
49,010.000.1263.00,"BISMUTO,    SUBSALICILATO   DE   DE   1.750   G/100ML,    SUSPENSIÓN    ORAL, ENVASE CON 240 ML.",ENVASE CON 240 ML,CIEL:72241,BISMUTH SUBSALICYLATE,-
50,010.000.1096.00,"BROMOCRIPTINA,   MESILATO    DE   (GT5)   DE   CADA   TABLETA    CONTIENE: MESILATO  DE BROMOCRIPTINA EQUIVALENTE A 2.5 MG DE BROMOCRIPTINA., TABLETA, ENVASE CON 14 TABLETAS.",14 TABLETAS,CIEL:72411,bromocriptine,92
51,010.000.0113.00,"BUTILHIOSCINA - METAMIZOL  GRAGEA 10 MG/ 250 MG,",ENVASE CON 36 GRAGEAS,CIEL:431,Hyoscine butylbromide,
52,010.000.2146.00,BUTILHIOSCINA - METAMIZOL  SOLUCIÓN INYECTABLE  20 MG/2.5 G/5 ML,ENVASE CON 5 AMPOLLETAS DE 5 ML.,CIEL:431,Hyoscine butylbromide,
53,010.000.2146.00,"BUTILHIOSCINA (N BUTILBROMURO DE HIOSCINA)  - METAMIZOL)  DE 20 MG / 2.5 G / 5 ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS DE 5 ML.",5 AMPOLLETAS CON 5 ML,CIEL:431,Hyoscine butylbromide,
54,010.000.1206.00,"BUTILHIOSCINA, BROMURO  DE  O BUTILBROMURO DE  HIOSCINA  DE  10  MG, GRAGEA O TABLETA, ENVASE CON 10 GRAGEA O TABLETAS.",10 GRAGEAS O TABLETAS,CIEL:431,Hyoscine butylbromide,
55,010.000.1207.00,"BUTILHIOSCINA, BROMURO  DE  Ó BUTILBROMURO DE  HIOSCINA  DE  20  MG, SOLUCIÓN INYECTABLE,  ENVASE CON 3 AMPOLLETAS DE 1 ML.",3 AMPOLLETAS CON 1.0 ML,CIEL:431,Hyoscine butylbromide,
56,1006,CALCIO COMPRIMIDO EFERVESCENTE CADA COMPRIMIDO CONTIENE: LACTATO GLUCONATO DE CALCIO 2.94 G CARBONATO DE CALCIO 300 MG EQUIVALENTE A 500 MG DE CALCIO IONIZABLE. ,12 comprimidos,CIEL:72660,CALCIUM CARBONATE,
59,010.000.2248.00,CINITAPRIDA  GRANULADO  1 MG 30 SOBRES,ENVASE,CIEL:73429,cinitapride,
60,010.000.2247.00,"CINITAPRIDA,   BITARTRATO   DE  DE  1  MG,  COMPRIMIDO,  ENVASE   CON  25 COMPRIMIDOS.",25 COMPRIMIDOS,CIEL:73429,cinitapride,91
61,010.000.2248.00,"CINITAPRIDA,   BITARTRATO   DE  DE  1  MG,  GRANULADO,   ENVASE   CON  30 SOBRES.",30 SOBRES,CIEL:73429,cinitapride,91
62,010.000.2249.00,"CINITAPRIDA,  BITARTRATO  DE DE 20 MG/100  ML, SOLUCIÓN  ORAL,  ENVASE CON 120 ML (1 MG/5 ML) Y CUCHARITA  DOSIFICADORA.",ENVASE CON 120 ML Y CUCHARITA DOSIFICADORA,CIEL:73429,cinitapride,91
64,010.000.1208.00,CISAPRIDA  SUSPENSIÓN  CADA 100 ML CONTIENEN:  CISAPRIDA  100 MG,ENVASE CON 60 ML Y DOSIFICADOR DE 5 ML,CIEL:73453,cisapride,
65,010.000.2147.00,CISAPRIDA  TABLETA 10 MG,CAJA CON 30 TABLETAS,CIEL:73453,cisapride,
66,010.000.1209.00,CISAPRIDA  TABLETA CADA TABLETA CONTIENE:  CISAPRIDA  5 MG .,ENVASE CON 30 TABLETAS.,CIEL:73453,cisapride,
67,010.000.5487.00,"CITALOPRAM,  BROMHIDRATO  DE  DE  20  MG,  TABLETA,   ENVASE   CON  14 TABLETAS.",14 TABLETAS,CIEL:73461,citalopram,100
68,010.000.5487.01,"CITALOPRAM,  BROMHIDRATO  DE  DE  20  MG,  TABLETA,   ENVASE   CON  28 TABLETAS.",28 TABLETAS,CIEL:73461,citalopram,100
70,010.000.2133.00,"CLINDAMICINA, CLORHIDRATO DE  DE  300  MG,  CÁPSULA,  ENVASE  CON  16 CÁPSULAS.",16 CÁPSULAS,CIEL:73546,clindamycin,87
71,010.000.0872.00,"CLIOQUINOL  DE 30 MG / G, CREMA, ENVASE CON 20 G.",ENVASE CON 20 G,CIEL:73560,clioquinol,100
