,code,name_es,packaging,concept,search term,score
0,060.016.0204,ACEITE LUBRICANTE  PARA PIEZA DE MANO DE BAJA VELOCIDAD,ENVASE C/240 ML.,CIEL:162138,lubricant jelly,
20,010.000.2503.00,"ALOPURINOL  DE 100 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70878,allopurinol,95
21,010.000.2503.01,"ALOPURINOL  DE 100 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:70878,allopurinol,95
22,010.000.3451.00,"ALOPURINOL  DE 300 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:70878,allopurinol,95
28,010.000.2111.00,AMLODIPINO  TABLETAS O CAPSULAS  5 MG.,ENVASE CON 10 Ó 30 CAPSULAS  O TABLETAS,CIEL:71138,amlodipine besylate,
29,010.000.2111.00,"AMLODIPINO,  BESILATO  DE DE 5 MG, TABLETA  O CÁPSULA,  ENVASE  CON 10 TABLETAS O CÁPSULAS.",10 TABLETAS O CÁPSULAS.,CIEL:71138,amlodipine besylate,81
45,010.000.0822.00,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 30 ML.",ENVASE CON 30 ML,CIEL:72063,,
46,010.000.0822.01,"BENZOILO,  PERÓXIDO  DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 50 ML.",ENVASE CON 50 ML,CIEL:72063,,
47,010.000.0822.02,"BENZOILO,  PERÓXIDO DE DE 5 G / 100 G, GEL DÉRMICO, ENVASE CON 60 G.",ENVASE CON 60 ML,CIEL:72063,,
58,010.000.1939.00,"CEFALEXINA  MONOHIDRATADA DE  500  MG,  TABLETA  O CÁPSULA,  ENVASE CON 20 TABLETAS O CÁPSULAS.",ENVASE CON 20 TABLETAS O CÁPSULAS.,CIEL:73087,cefalexin,90
81,010.000.2714.00,"COMPLEJO   B  DE  TIAMINA,   MONONITRATO  DE,  100MG,  PIRIDOXINA   5  MG, CIANOCOBALAMINA 50 µG, TABLETA, COMPRIMIDO  O CÁPSULA,  ENVASE CON 30 TABLETAS,  COMPRIMIDOS O CÁPSULAS.","30 TABLETAS, COMPRIMIDOS O CÁPSULAS",CIEL:84995,thiamine,-
82,060.308.0177,CONDÓN MASCULINO   DE HULE LÁTEX. ENVASE CON 100 PIEZAS.,ENVASE CON 100 PIEZAS,CIEL:190,condoms,
88,010.000.5501.00,"DICLOFENACO  SÓDICO  DE  75  MG/3  ML,  SOLUCIÓN   INYECTABLE,   ENVASE CON 2 AMPOLLETAS CON 3 ML.",2 AMPOLLETAS CON 3 ML,CIEL:74782,diclofenac sodium,82
89,010.000.3417.00,"DICLOFENACO SÓDICO  DE  100  MG,  CÁPSULA  O  GRAGEA  DE  LIBERACIÓN PROLONGADA, ENVASE CON 20 CÁPSULAS  O GRAGEAS.",20 CÁPSULAS  O GRAGEAS,CIEL:74782,diclofenac sodium,82
92,SIN CLAVE,DIFENHIDRAMINA JARABE 12.5MG/ML,ENVASE,CIEL:75015,diphenhydramine,
93,010.000.0406.00,"DIFENHIDRAMINA,   CLORHIDRATO   DE   DE   100   MG   /   10   ML,   SOLUCIÓN INYECTABLE,  ENVASE CON FRASCO ÁMPULA DE 10 ML.",FRASCO ÁMPULA CON 10 ML.,CIEL:75015,diphenhydramine,76
94,010.000.0405.00,"DIFENHIDRAMINA, CLORHIDRATO DE  DE  250  MG/100  ML,  JARABE,  ENVASE CON 60 ML.",ENVASE CON 60 ML,CIEL:75015,diphenhydramine,76
110,010.000.2403.00,"ESTREPTOMICINA, SULFATO  DE  DE  1  G,  SOLUCIÓN  INYECTABLE,   ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE  CON 2 ML.",FRASCO ÁMPULA Y DILUYENTE  CON 2 ML,CIEL:84360,streptomycin,85
119,010.000.0525.00,"FENITOÍNA   SÓDICA   DE  100  MG,  CÁPSULA   O  TABLETA,   ENVASE   CON  50 TABLETAS O CÁPSULAS.",50 TABLETAS O CÁPSULAS,CIEL:82024,,
121,010.000.2624.00,"FENITOÍNA  SÓDICA  DE 250 MG/5  ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA  (250 MG/5 ML).",UNA AMPOLLETA  CON 5 ML,CIEL:82024,,
122,010.000.2610.00,"FENITOÍNA  SÓDICA DE 30 MG, TABLETA, ENVASE CON 50 TABLETAS.",50 TABLETAS,CIEL:82024,,
123,010.000.0626.01,"FITOMENADIONA  SOLUCIÓN   O  EMULSIÓN   INYECTABLE,   CADA  AMPOLLETA CONTIENE   FITOMENADIONA 10 MG. PRESENTACIÓN: 5 AMPOLLETAS CON 1.0 ML",ENVASE CON 5 AMPOLLETAS DE 1 ML.,CIEL:86353,,
